"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TECHM","EQ","20-Aug-2013","       1294.00","       1288.90","       1296.95","       1241.30","       1243.95","       1249.80","       1259.59","    1321442","          1664474815.75","      64556","     783606","         59.30"
"TECHM","EQ","21-Aug-2013","       1249.80","       1250.00","       1280.00","       1231.15","       1241.65","       1239.75","       1252.98","    1373977","          1721567924.70","      66670","     847462","         61.68"
"TECHM","EQ","22-Aug-2013","       1239.75","       1239.00","       1279.75","       1226.60","       1279.40","       1270.90","       1252.08","    1087598","          1361754996.80","      90243","     588356","         54.10"
"TECHM","EQ","23-Aug-2013","       1270.90","       1285.40","       1372.80","       1276.35","       1371.95","       1366.20","       1334.97","    1870641","          2497258076.70","      66969","     946916","         50.62"
"TECHM","EQ","26-Aug-2013","       1366.20","       1370.00","       1410.00","       1360.70","       1382.05","       1379.65","       1392.73","    1576192","          2195207691.85","      61297","     866292","         54.96"
"TECHM","EQ","27-Aug-2013","       1379.65","       1380.70","       1409.90","       1348.70","       1354.90","       1362.90","       1380.52","    1099802","          1518299983.15","      43343","     468902","         42.64"
"TECHM","EQ","28-Aug-2013","       1362.90","       1348.00","       1405.00","       1346.20","       1370.00","       1370.25","       1376.25","    1027756","          1414450439.65","      44040","     494212","         48.09"
"TECHM","EQ","29-Aug-2013","       1370.25","       1368.80","       1390.00","       1350.00","       1374.00","       1365.55","       1366.76","    1077918","          1473253576.30","      43370","     561801","         52.12"
"TECHM","EQ","30-Aug-2013","       1365.55","       1372.00","       1428.00","       1365.00","       1375.00","       1375.00","       1395.02","    1485589","          2072420621.20","      83321","     733377","         49.37"
"TECHM","EQ","02-Sep-2013","       1375.00","       1380.00","       1394.85","       1353.85","       1375.40","       1375.05","       1377.97","     656478","           904607583.35","      26263","     329433","         50.18"
"TECHM","EQ","03-Sep-2013","       1375.05","       1393.20","       1435.00","       1386.05","       1398.90","       1400.40","       1413.44","    1564026","          2210664411.50","      84892","     687847","         43.98"
"TECHM","EQ","04-Sep-2013","       1400.40","       1410.00","       1424.10","       1390.65","       1400.00","       1399.20","       1404.60","     910640","          1279087290.05","      37883","     434201","         47.68"
"TECHM","EQ","05-Sep-2013","       1399.20","       1401.55","       1404.10","       1375.40","       1377.00","       1382.40","       1387.54","     767992","          1065619844.15","      30547","     429346","         55.91"
"TECHM","EQ","06-Sep-2013","       1382.40","       1378.00","       1404.10","       1353.00","       1358.35","       1360.30","       1371.63","     747785","          1025686320.35","      38314","     335087","         44.81"
"TECHM","EQ","10-Sep-2013","       1360.30","       1358.05","       1370.00","       1332.40","       1360.00","       1356.80","       1352.41","    1107202","          1497393904.30","      44764","     632947","         57.17"
"TECHM","EQ","11-Sep-2013","       1356.80","       1353.00","       1397.00","       1325.10","       1332.05","       1333.30","       1364.27","    1348264","          1839391133.70","      81423","     699424","         51.88"
"TECHM","EQ","12-Sep-2013","       1333.30","       1339.90","       1341.70","       1295.00","       1309.00","       1311.35","       1309.07","    1718310","          2249389309.95","      81617","     981398","         57.11"
"TECHM","EQ","13-Sep-2013","       1311.35","       1318.00","       1320.50","       1280.00","       1290.25","       1289.30","       1299.43","    1852094","          2406659002.20","      68752","    1095861","         59.17"
"TECHM","EQ","16-Sep-2013","       1289.30","       1297.40","       1300.00","       1257.45","       1279.95","       1278.15","       1275.08","    2103136","          2681669839.85","      38670","    1138039","         54.11"
"TECHM","EQ","17-Sep-2013","       1278.15","       1285.55","       1325.00","       1281.00","       1313.50","       1312.80","       1304.32","    1443492","          1882777985.10","      54383","     513688","         35.59"
